A,B,type
coffmanG,coffmanT,sameBuilding
coffmanT,coffmanB,sameBuilding
coffmanB,coffmanG,sameBuilding
hass1,hass4,sameBuilding
child1,child6,sameBuilding
varietyB,variety4,sameBuilding
jackson3,jackson4,sameBuilding
molecule2,molecule3,sameBuilding
washRampB,washRamp3,sameBuilding
graddy2,graddyLL,sameBuilding
mayo1,mayo2,sameBuilding
mayo2,mayo3,sameBuilding
mayo3,mayo1,sameBuilding
dwan2,dwan3,sameBuilding
fairview1,fairview2,sameBuilding
coffmanT,eastRivRdA,tunnel
coffmanB,hass1,tunnel
coffmanB,boynton2,tunnel
coffmanB,mayo1,tunnel
hass1,boynton2,tunnel
hass1,mayo1,tunnel
mayo1,boynton2,tunnel
hass4,jackson4,tunnel
jackson3,molecule3,tunnel
molecule3,mayo3,tunnel
molecule2,moos2,tunnel
mayo2,pwb2,tunnel
child6,mayo3,tunnel
child1,varietyB,tunnel
mayo3,masCan3,tunnel
masCan2,variety4,tunnel
masCan3,fairview2,tunnel
fairview1,pwb2,tunnel
pwb2,diehl2,tunnel
pwb2,hsec2,tunnel
moos2,pwb2,tunnel
fairview1,hsec1,tunnel
hsec1,hospitalRamp,tunnel
moos2,weaver2,tunnel
moos2,washRampB,tunnel
weaver2,washRampB,tunnel
washRamp3,pts2,tunnel
washRamp3,graddy2,tunnel
graddyLL,mcnamaraB,tunnel
mcnamaraB,universityRampB,tunnel